Puesto,Calle,Direecion
ATILIO 15      ,AVDA TRIUNVIRATO              ,4774
LITO17         ,AVDA TRIUNVIRATO              ,5618
PAMPA 15       ,AVDA TRIUNVIRATO              ,4114
ESTOMBA17      ,AVDA TRIUNVIRATO              ,2902
TANITO 55      ,AVDA WARNES                   ,680
JOSE 55        ,AVDA WARNES                   ,408
EDUARDO55      ,AVDA WARNES                   ,994
WARNES55       ,AVDA WARNES                   ,1058
GREGORI55      ,AVDA WARNES                   ,202
DORREGO55      ,AVDA WARNES                   ,1442
117,AVELLANEDA                    ,198
BARTOLU25      ,AVELLANEDA                    ,3240
50,BENJAMIN MATIENZO             ,1750
250,BESARES                       ,2019
86,BONPLAND                      ,2323
82,BORGES                        ,2205
MANOLO 15      ,BUCARELLI                     ,2464
ALFREDO17      ,BUCARELLI                     ,1812
306,C LARRALDE                    ,3015
CACHO 15       ,C.DE MALVINAS ESQ.BALLIVIAN   ,1
BOLITA         ,CABILDO                       ,2492
DOMINGO27      ,CAMARONES                     ,2889
83,CARRANZA                      ,1995
SANATORIO      ,CERVI･O                       ,4720
PASCUAL56      ,CHARLONE                      ,594
CHENAUT        ,CHENAUT                       ,1992
CHORRO 15      ,COMB. MALVINAS                ,3008
NICOLAS15      ,COMBATIENTES DE MALVINAS      ,3590
RICARDO20      ,CONGRESO                      ,1512
48,CONGRESO                      ,2215
64,CONGRESO                      ,1808
358,CRAMER                        ,2196
49,CRAMER                        ,2496
CRAMER         ,CRAMER                        ,3312
333,CRAMER                        ,3602
332,CRISOLOGO LARRALDE            ,3829
323,CRISOLOGO LARRALDE            ,4920
334,CUBA                          ,2491
314,CUBA                          ,1813
COMPADRE25     ,CUENCA                        ,1320
BARRERA17      ,CULLEN                        ,4994
DORREGO20      ,DE MARIA                      ,4616
JUAN17         ,DEL CARRIL                    ,2497
TITI 15        ,DONADO                        ,1087
POCHO          ,DORREGO                       ,0
CELESTI25      ,DORREGO                       ,994
HOSP ALVAR25   ,DR JUAN F ARANGUREN           ,2701
FELISA         ,ECHEVERRIA                    ,2108
BELGRANO       ,ECHEVERRIA                    ,3102
ROBERTI        ,ECHEVERRIA                    ,805
102,ECHEVERRIA                    ,1509
ALEJANDRO      ,ECHEVERRIA                    ,985
CUBA           ,ECHEVERRIA                    ,2108
BARRERA        ,ECHEVERRIA                    ,1685
CHICO          ,ECHEVERRIA Y V ARREDONDO      ,547
JOSE20         ,ELCANO                        ,3012
NU#EZ20        ,EST. NUYES                    ,0
84,EST. SAAVEDRA                 ,0
COGHLAN        ,EST.COGHLAN (T.B.A.)          ,0
77,"ESTACION BELGRANO ""C""         ",0
REPARTO        ,ESTACION RIVADAVIA            ,0
CASTILLO       ,ESTADO DE ISRAEL              ,4605
PAZ17          ,ESTRADA                       ,2058
